id_filename,decision_sign,name,party,legal area,entscheid
1000,5A_449/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
1001,2E_8/2024,Aubry Girardin,Grüne,AndererBereich,abgewiesen
1002,"1D_1/2025, 1D_2/2025",Haag,GLP,Subsidiäre Verfassungsbeschwerde,abgewiesen
1004,"6B_558/2025, 6B_561/2025, 6B_563/2025, 6B_564/2025, 6B_565/2025",von Felten,Die Mitte,Strafrecht,abgewiesen
1005,1C_174/2025,Haag,GLP,Öffentliches Recht,abgewiesen
1006,6B_208/2025,Muschietti,FDP,Strafrecht,abgewiesen
1007,6B_368/2024,Muschietti,FDP,Strafrecht,abgewiesen
1008,2C_332/2025,Aubry Girardin,Grüne,Öffentliches Recht,nicht eingetreten
1009,1C_132/2026,Haag,GLP,Öffentliches Recht,nicht eingetreten
100,7B_245/2026,Abrecht,SP,Strafrecht,gutgeheissen
1011,6B_817/2025,Muschietti,FDP,Strafrecht,abgewiesen
1012,1C_122/2026,Haag,GLP,Öffentliches Recht,abgewiesen
1013,1C_96/2026,Haag,GLP,Öffentliches Recht,nicht eingetreten
1014,1C_489/2025,Haag,GLP,Öffentliches Recht,abgewiesen
1015,1C_158/2026,Haag,GLP,Öffentliches Recht,nicht eingetreten
1016,5A_1009/2025,Bovey,FDP,Zivilrecht,abgewiesen
1017,"6B_10/2026, 6B_11/2026",von Felten,Die Mitte,Strafrecht,abgewiesen
1018,7B_291/2024,Abrecht,SP,Strafrecht,abgewiesen
1019,1C_711/2024,Haag,GLP,Öffentliches Recht,teilweise gutgeheissen
101,6B_975/2025,Muschietti,FDP,Strafrecht,teilweise gutgeheissen
1020,6B_189/2026,Muschietti,FDP,Strafrecht,abgewiesen
1021,6B_926/2025,von Felten,Die Mitte,Strafrecht,nicht eingetreten
1022,6B_3/2026,von Felten,Die Mitte,Strafrecht,abgewiesen
1023,7F_17/2026,Abrecht,SP,AndererBereich,nicht eingetreten
1024,4A_471/2025,Hurni,GLP,Zivilrecht,gutgeheissen
1025,6B_172/2026,von Felten,Die Mitte,Strafrecht,nicht eingetreten
1027,8C_10/2026,Viscione,SVP,Öffentliches Recht,abgewiesen
1028,4A_165/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
1029,5A_193/2025,Bovey,FDP,Zivilrecht,abgewiesen
102,"6B_845/2025, 6B_846/2025",Muschietti,FDP,Strafrecht,gutgeheissen
1030,5A_57/2025,Herrmann,SVP,Zivilrecht,abgewiesen
1031,6B_143/2026,Muschietti,FDP,Strafrecht,abgewiesen
1032,6B_60/2026,von Felten,Die Mitte,Strafrecht,nicht eingetreten
1033,6B_797/2025,von Felten,Die Mitte,Strafrecht,teilweise gutgeheissen
1034,1C_109/2026,Haag,GLP,Öffentliches Recht,gutgeheissen
1035,1C_264/2024,Haag,GLP,Öffentliches Recht,teilweise gutgeheissen
1036,4A_136/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
1037,4A_457/2025,Kiss,FDP,Zivilrecht,abgewiesen
1038,5A_371/2026,Bovey,FDP,Zivilrecht,abgewiesen
1039,5A_372/2026,Bovey,FDP,Zivilrecht,abgewiesen
103,7B_155/2026,Abrecht,SP,Strafrecht,teilweise gutgeheissen
1040,8C_460/2025,Viscione,SVP,Öffentliches Recht,abgewiesen
1041,8C_667/2025,Viscione,SVP,Öffentliches Recht,abgewiesen
1042,9C_368/2025,Moser-Szeless,SVP,Öffentliches Recht,abgewiesen
1043,7B_164/2026,Abrecht,SP,Strafrecht,abgewiesen
1044,7B_3/2026,Koch,SVP,Strafrecht,nicht eingetreten
1045,8C_256/2026,Viscione,SVP,Öffentliches Recht,nicht eingetreten
1046,8C_541/2025,Viscione,SVP,Öffentliches Recht,abgewiesen
1047,4A_155/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
1048,9C_213/2025,Moser-Szeless,SVP,Öffentliches Recht,gutgeheissen
1049,9C_336/2025,Moser-Szeless,SVP,Öffentliches Recht,gutgeheissen
104,7B_49/2026,Abrecht,SP,Strafrecht,abgewiesen
1050,4A_178/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
1051,5A_268/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
1052,5A_283/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
1053,5A_284/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
1054,5A_396/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
1055,5A_406/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
1056,5A_411/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
1057,8C_236/2026,Viscione,SVP,Öffentliches Recht,nicht eingetreten
1058,8C_602/2025,Viscione,SVP,Öffentliches Recht,gutgeheissen
1059,2C_238/2026,Aubry Girardin,Grüne,Öffentliches Recht,nicht eingetreten
105,6B_424/2026,Muschietti,FDP,Strafrecht,nicht eingetreten
1060,4A_173/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
1061,5A_426/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
1063,8C_744/2025,Viscione,SVP,Öffentliches Recht,abgewiesen
1064,5A_770/2025,Bovey,FDP,Zivilrecht,teilweise gutgeheissen
1065,5A_693/2025,Bovey,FDP,Zivilrecht,abgewiesen
1067,2C_66/2025,Aubry Girardin,Grüne,Öffentliches Recht,abgewiesen
1068,7B_739/2025,van de Graaf,SVP,Strafrecht,teilweise gutgeheissen
1069,1C_640/2025,Haag,GLP,Öffentliches Recht,abgewiesen
106,6F_7/2026,Muschietti,FDP,AndererBereich,nicht eingetreten
1070,6B_464/2025,von Felten,Die Mitte,Strafrecht,abgewiesen
1071,1C_660/2025,Haag,GLP,Öffentliches Recht,abgewiesen
1072,5A_795/2025,Bovey,FDP,Zivilrecht,nicht eingetreten
1074,8C_2/2026,Viscione,SVP,Öffentliches Recht,abgewiesen
1075,5A_357/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
1076,6B_258/2026,von Felten,Die Mitte,Strafrecht,nicht eingetreten
1077,6B_854/2024,Muschietti,FDP,Strafrecht,abgewiesen
1078,7B_1346/2025,Abrecht,SP,Strafrecht,nicht eingetreten
1079,7B_721/2024,Abrecht,SP,Strafrecht,abgewiesen
1080,8C_233/2026,Viscione,SVP,Öffentliches Recht,nicht eingetreten
1081,8C_704/2025,Viscione,SVP,Öffentliches Recht,nicht eingetreten
1082,5A_292/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
1084,7B_481/2025,Abrecht,SP,Strafrecht,abgewiesen
1085,5A_518/2025,Bovey,FDP,Zivilrecht,abgewiesen
1086,5A_53/2026,Bovey,FDP,Zivilrecht,abgewiesen
1087,8C_221/2026,Viscione,SVP,Öffentliches Recht,nicht eingetreten
108,5A_596/2026,Bovey,FDP,Zivilrecht,abgewiesen
1090,8C_718/2025,Viscione,SVP,Öffentliches Recht,teilweise gutgeheissen
1091,5A_275/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
1092,5A_311/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
1095,4A_135/2026,Kiss,FDP,Zivilrecht,nicht eingetreten
1097,8C_692/2025,Viscione,SVP,Öffentliches Recht,abgewiesen
1099,9C_81/2025,Moser-Szeless,SVP,Öffentliches Recht,abgewiesen
109,4A_283/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
10,5A_564/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
1100,5A_282/2025,Bovey,FDP,Zivilrecht,abgewiesen
1101,9C_91/2026,Moser-Szeless,SVP,Öffentliches Recht,abgewiesen
1103,9C_276/2026,Moser-Szeless,SVP,Öffentliches Recht,nicht eingetreten
1104,9C_98/2026,Moser-Szeless,SVP,Öffentliches Recht,abgewiesen
1105,4A_158/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
1106,4A_186/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
1107,7B_472/2026,Koch,SVP,Strafrecht,gutgeheissen
1108,5A_231/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
1109,5A_377/2026,Bovey,FDP,Zivilrecht,abgeschrieben
110,4A_151/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
1110,5A_379/2026,Bovey,FDP,Zivilrecht,abgeschrieben
1111,5A_402/2026,Bovey,FDP,Zivilrecht,nicht eingetreten
1112,2C_235/2024,Aubry Girardin,Grüne,Öffentliches Recht,gutgeheissen
1113,4A_127/2025,Hurni,GLP,Zivilrecht,abgewiesen
1114,1C_327/2025,Haag,GLP,Öffentliches Recht,abgewiesen
1115,"1C_328/2025,",Haag,GLP,Öffentliches Recht,abgewiesen
1116,2C_169/2025,Aubry Girardin,Grüne,Öffentliches Recht,nicht eingetreten
1117,6B_708/2024,Muschietti,FDP,Strafrecht,abgewiesen
1118,2C_161/2026,Aubry Girardin,Grüne,Öffentliches Recht,nicht eingetreten
1119,6B_442/2025,Muschietti,FDP,Strafrecht,abgewiesen
111,4A_195/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
1120,6B_805/2025,Muschietti,FDP,Strafrecht,abgewiesen
1121,2C_354/2025,Aubry Girardin,Grüne,Öffentliches Recht,abgewiesen
1122,6B_1007/2025,von Felten,Die Mitte,Strafrecht,abgewiesen
1123,6B_27/2026,von Felten,Die Mitte,Strafrecht,abgewiesen
1124,9C_503/2024,Moser-Szeless,SVP,Öffentliches Recht,abgewiesen
1125,1C_189/2026,Haag,GLP,Öffentliches Recht,abgewiesen
1126,"4A_213/2025, 4A_225/2025",Hurni,GLP,Zivilrecht,abgewiesen
1127,8C_691/2025,Viscione,SVP,Öffentliches Recht,abgewiesen
1129,2C_335/2025,Aubry Girardin,Grüne,Öffentliches Recht,abgewiesen
112,4A_227/2026,Hurni,GLP,Zivilrecht,nicht eingetreten
1130,2C_41/2026,Donzallaz,parteilos (ex SVP),Öffentliches Recht,abgewiesen
1131,7B_448/2026,Abrecht,SP,Strafrecht,abgewiesen
1132,7B_410/2026,Abrecht,SP,Strafrecht,nicht eingetreten
1133,8C_664/2025,Viscione,SVP,Öffentliches Recht,abgewiesen
1134,8C_736/2025,Viscione,SVP,Öffentliches Recht,abgewiesen
1135,1C_159/2026,Haag,GLP,Öffentliches Recht,nicht eingetreten
1137,8C_580/2025,Viscione,SVP,Öffentliches Recht,abgewiesen
1138,7B_407/2026,Abrecht,SP,Strafrecht,nicht eingetreten
1139,8C_256/2025,Viscione,SVP,Öffentliches Recht,teilweise gutgeheissen
113,4D_73/2026,Hurni,GLP,Subsidiäre Verfassungsbeschwerde,nicht eingetreten
